epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.80974,1.12892,0.55263,1,1.00125,0.00025722,0.00025722,0.00025722
2,17.1917,0.9217,0.84211,1,0.65909,0.000511282,0.000511282,0.000511282
3,25.1933,0.66564,0.84211,1,0.41643,0.000747424,0.000747424,0.000747424
4,33.2643,0.44966,0.92105,1,0.32206,0.000965647,0.000965647,0.000965647
5,41.3475,0.30815,0.94737,1,0.20645,0.00116595,0.00116595,0.00116595
6,50.1135,0.29091,0.92105,1,0.20618,0.00119322,0.00119322,0.00119322
7,58.9051,0.17962,0.92105,1,0.17676,0.00114606,0.00114606,0.00114606
8,66.9693,0.13029,0.94737,1,0.19562,0.0010989,0.0010989,0.0010989
9,75.0383,0.12756,0.94737,1,0.14838,0.00105174,0.00105174,0.00105174
10,83.0237,0.15297,0.94737,1,0.15402,0.00100459,0.00100459,0.00100459
11,90.8652,0.15907,0.92105,1,0.28271,0.00095743,0.00095743,0.00095743
12,98.7453,0.13936,0.97368,1,0.05743,0.000910273,0.000910273,0.000910273
13,106.618,0.14086,0.97368,1,0.11023,0.000863116,0.000863116,0.000863116
14,114.628,0.10409,0.97368,1,0.04821,0.000815959,0.000815959,0.000815959
15,123.445,0.05468,0.94737,1,0.08098,0.000768802,0.000768802,0.000768802
16,131.66,0.08712,0.94737,1,0.24107,0.000721645,0.000721645,0.000721645
17,140.055,0.09038,0.94737,1,0.19277,0.000674488,0.000674488,0.000674488
18,147.786,0.05554,0.94737,1,0.17936,0.000627331,0.000627331,0.000627331
19,155.244,0.11341,0.94737,1,0.15768,0.000580174,0.000580174,0.000580174
20,162.741,0.03741,0.97368,1,0.10539,0.000533017,0.000533017,0.000533017
21,173.013,0.07076,0.94737,1,0.11138,0.00048586,0.00048586,0.00048586
22,182.211,0.08644,0.94737,1,0.25024,0.000438703,0.000438703,0.000438703
23,191.45,0.01991,0.94737,1,0.1161,0.000391546,0.000391546,0.000391546
24,199.615,0.08426,0.97368,1,0.09632,0.000344389,0.000344389,0.000344389
25,206.869,0.033,0.94737,1,0.11327,0.000297232,0.000297232,0.000297232
26,213.969,0.07447,0.94737,1,0.1018,0.000250075,0.000250075,0.000250075
27,221.068,0.0218,0.97368,1,0.18571,0.000202918,0.000202918,0.000202918
28,228.607,0.02126,0.97368,1,0.09773,0.000155761,0.000155761,0.000155761
29,236.37,0.07278,0.97368,1,0.08568,0.000108604,0.000108604,0.000108604
30,244.098,0.04098,0.97368,1,0.08347,6.1447e-05,6.1447e-05,6.1447e-05
